Category,Question,Answer
4,"Skąd zdaniem Gandalfa przybyły trolle, które chciały zjeść kompanię Thorina?",Z Wrzosowisk Etten
4,"Gdzie wykuto elfickie miecze, które kompania znalazła w jaskini trolli?",W Gondolinie
4,Czyim pomiotem zdaniem Radagasta były wielkie pająki w Mrocznej Puszczy?,Ungolianty
4,"Skąd przybyły ogromne pająki, które opanowały Mroczną Puszczę?",Z Dol Guldur
4,Jak Gandalf dowiaduje się o rosnącym w siłe czarnoksiężniku z Dol Guldur?,Mówi mu o tym Radagast
4,Co było zdaniem Gandalfa ostatnim przyjaznym domem na wschód od morza?,Rivendell
4,Jak po elficku brzmiała nazwa Rivendell?,Imladris
4,Kto wita Gandalfa po jego przybyciu wraz z kompanią do Rivendell?,Lindir
4,"Jak brzmiała nazwa ostrza Thorina, we wspólnej mowie zwanego Pogromcą Goblinów?",Orcrist
4,"Jak brzmiała nazwa miecza Gandalfa, we wspólnej mowie zwanego Młotem na Wroga?",Glamdring
4,"Jak we wspólnej mowie brzmiały nazwy mieczy Thorina i Gandalfa, znalezionych w jaskini trolli?","Pogromca Goblinów, Młot na Wroga"
4,"Za pomocą czego, na mapie Thorina zapisano ukrytą wiadomość?",Za pomocą run księżycowych/lunarnych
4,W jaką noc zapisano ukryte runy na mapie Thorina?,W noc letniego przesilenia
4,Co dla krasnoludów oznaczał Dzień Durina?,Pierwszy dzień nowego roku krasnoludów
4,Jakie dwie pory roku łączył Dzień Durina?,Jesień i zimę
4,Co przykuwa największą uwagę Bilba w sali ze szczątkami Narsila?,Pierścień namalowany na palcu Saurona na obrazie
4,"Jak nazywał się miecz, którego szczątkom przyglądał się Bilbo w domu Elronda?",Narsil
4,"Czego zapasy, w kuchni w Rivendell, prawie się wyczerpały w czasie goszczenia kompanii Thorina?",Wina
4,Gdzie krasnoludy postanowiły wziąć nagą kąpiel?,W fontannie w Rivendell
4,"Jakim terenem opiekował się Radagast, nim został on spowity czarną magią?",Zielonym Lasem
4,Kto zlekceważył znalezione w twierdzy Dol Guldur rzekome Ostrze Morgulu?,Saruman
4,"Kto wezwał Galadrielę do Rivendell, gdy przebywała tam kompania Thorina?",Saruman
4,Z jakim przedmiotem Radagast wrócił z Dol Guldur?,Z Ostrzem Morgulu
4,Do kogo należał miecz przekazany Gandalfowi przez Radagasta?,Do Czarnoksiężnika z Angmaru
4,Jak inaczej Radagast nazywał czarnoksiężnika z Dol Guldur?,Nekromantą
4,Gdzie pochowano ciało Czarnoksiężnika z Angmaru?,W Górach Rhudauru
4,Czyją rozmowę podsłuchuje Thorin w czasie nocy spędzanej w Frontowym Przedsionku?,Bilba z Bofurem
4,Z którym krasnoludem Bilbo rozmawia o swojej chęci odejścia z kompanii w Górach Mglistych?,Z Bofurem
4,Gdzie Kompania Thorina jest świadkiem walki olbrzymów?,W Górach Mglistych
4,"Jak gobliny nazywały jaskinię, w której  zastawili pułapkę na krasnoludy Thorina?",Frontowym Przedsionkiem
4,Jaka była poprawna odpowiedź na zagadkę Golluma przed rozpoczęciem gry z Bilbem?,Góra
4,Ile zębów miał Gollum?,Dziewięć
4,Jaka była odpowiedź na pierwszą zagadkę zadaną przez Bilba w trakcie gry z Gollumem?,Zęby
4,Jaka była odpowiedź na drugą zagadkę zadaną przez Bilba w trakcie gry z Gollumem?,Jajko
4,Jaka była odpowiedź na pierwszą zagadkę zadaną przez Golluma w trakcie gry z Bilbem?,Wiatr
4,Jaka była odpowiedź na drugą zagadkę zadaną przez Golluma w trakcie gry z Bilbem?,Czas
4,Jaką ostatnią zagadkę zadał Gollumowi Bilbo w czasie ich gry?,Gollum miał zgadnąć co Bilbo ma w kieszeni
4,"Którę przedramię stracił przed laty Azog, walcząc z Thorinem?",Lewe
4,"W jaki sposób, Kompania Thorina najskuteczniej odpędzała od siebie wargów z watahy azoga, w czasie ich potyczki za Górami Mglistymi?",Rzucała w nich podpalonmi szyszkami 
4,"W jaki sposób, Azog postanowił pozbawić Thorina życia w czasie ich potyczki za Górami Mglistymi",Poprzez dekapitację
4,Jakiego ptaka powracającego na Samotną Górę spostrzegają krasnoludy po ucieczce na orłach przed Azogiem?,Drozda
4,"Jak jeden z krasnoludów nazywa mylnie zwierzę wracające na Samotną Górę, które kompania spostrzega stojąc na skale z widokiem na Erebor? ",Krukiem
5,Gdzie Thorin pierwszy raz spotyka Gandalfa?,W Gospodzie Pod Rozbrykanym Kucykiem
5,Co Thorin robił w okolicach Bree przed poznaniem Gandalfa?,Szukał ojca
5,Gdzie Thorin próbował odnaleźć swojego ojca?,W lasach nieopodal Dunlandu
5,Kto poprowadził szturm krasnoludów w kierunku Bramy Dimrilla po śmierci Throra?,Thrain
5,"Jak nazywało się wejście do Morii, pod którym stoczyła się bitwa krasnoludów z Ereboru z orkami?",Brama Dimrilla
5,"Co Gandalf poradził uczynić Thrainowi, podczas ich spotkania przed bitwą krasnoludów o Morię?",Odbić Erebor
5,O ilu armiach krasnoludów mówił Gandalf w czasie jego rozmowy z Thrainem o odbiciu Ereboru?,O siedmiu
5,"O czym mówiła wiadomość w czarnej mowie znaleziona przez Gandalfa u jednego z bandytów, którzy zaatakowali go w drodze do Bree?",Była to obietnica zapłaty za głowe Thorina
5,Ile czasu minęło od spotkania Gandalfa i Thorina w Bree do pierwszego po latach spotkania Thorina z Azogiem?,12 miesięcy
5,"Jak nazywał się gospodarz chatki, w której schowała się kompania, uciekając przed ogronym niedźwiedziem?",Beorn
5,Jakie postaci potrafił przybierać Beorn?,Człowieka i niedźwiedzia
5,"Skąd Azog dowiaduje się, że jego pan wzywa go do Dol Guldur?",Z tą informacją brzybywa do niego Bolg
5,"Dokąd udaje się Azog, gdy krasnoludy nocują u Beorna?",Do Dol Guldur
5,"O kim z kompanii Thorina, słyszał Beorn?",O Thorinie
5,"Czym zajęty jest Beorn, gdy Gandalf z resztą kompanii postanawiają się mu pokazać i przedstawić?",Rąbaniem drewna
5,Jakie wielkie owady budzą Bilba w domu Beorna?,Pszczoły
5,Jaka przeszłość łączła Azoga i Beorna?,Azog więził Beorna dla rozrywki
5,"Na co natrafia Gandalf, na skraju Mrocznej Puszczy?",Na wymalowany znak Saurona
5,"Gdzie udaje się Gandalf, gdy zostawia kompanię na skraju Mrocznej Puszczy?",Do grobowców w Górach Rhudauru
5,W jaki sposób kompania przeprawiła się przez przeklęty strumień?,Przeszła lianami i gałęziami
5,Jak przeklęty strumień działał na członków kompanii?,Usypiał ich
5,Kto wpadł do przeklętego strumienia?,Bombur
5,"Kto postanawia poprowadzić kompanię, wzdłuż drogi, która zbaczała ze ścieżki elfów?",Thorin
5,"Czego według rady Gandalfa, powinni się trzymać członkowie kompanii w czasie przechodzenia wzdłuż Mrocznej Puszczy, aby dotarli na drugą stronę?",Ścieżki elfów
5,"O jakim swoim druhu, którego mógł znać Beorn, wspomina Gandalf w czasie ich pierwszej rozmowy?",O Radagaście
5,Po ilu członków Kompanii Thorina naraz wychodzi się przedstawić Beornowi w czasie ich pierwszego spotkania?,Po dwóch
5,"O nienawiści do jakich ras, mówi Beorn w czasie jego rozmowy z Thorinem?",Do krasnoludów i orków
5,"Ile mil na północ należałoby iść, aby kompania mogła ominąć Mroczną Puszczę w drodze do Ereboru?",Dwieście
5,"Ile mil na południe należałoby iść, aby kompania mogła ominąć Mroczną Puszczę w drodze do Ereboru?",Czterysta
5,"Co zdaniem Bilba, w rozmowie z Gandalfem, Hobbit odnalazł w tunelach goblinów?",Odwagę
5,Gdzie kompania rozdziela się po raz pierwszy od opuszczenia włości Beorna?,Na skraju Mrocznej Puszczy
5,Jakie polecenie dotyczące Ereboru wydaje kompanii Gandalf w czasie ich rozstania na skraju Mrocznej Puszczy?,Zabrania wchodzić do Samotnej Góry bez niego
5,Co spostrzega Bilbo wyglądając na świat przez korony drzew w Mrocznej Puszczy?,"Jezioro, rzękę i Samotną Górę"
5,"Kto z Kompanii Thorina, w czasie jej błąkania się po Mrocznej Puszczy, ma wrażenie że są obserwowani? ",Thorin
5,W którym kierunku Kompania Thorina powinna poruszać się w Mrocznej Puszczy?,Na wschód
5,"W jaki sposób Bilbo postanawia zorientować się, którą stronę obrać aby wyjść z Mrocznej Puszczy?",Postanawia wspiąć się na drzewo
5,"Na jakie zwierzęta natrafia Bilbo, w koronach drzew Mrocznej Puszczy?",Motyle
5,Skąd Bilbo bierze nazwę dla swojego ostrza?,Jeden z pająków w Mrocznej Puszczy nazywa je żądłem
5,"Co prócz zniknięcia Bilba, zmienia się po założeniu przez niego pierścienia w siedlisku pająków?",Bilbo zaczyna rozumieć ich rozmowy
5,Którego z krasnoludów ratuje przed olbrzymim pająkiem Tauriel?,Kiliego
5,Jak nazywał się syn Gloina?,Gimli
5,"Czyim synem był krasnolud, porównany przez Legolasa do zmutowanego goblina?",Gloina
5,"Kto jako pierwszy spostrzega, że Bilba nie ma z resztą kompanii po pojmaniu krasnoludów przez leśne elfy?",Bofur
5,Który krasnolud potępił resztę kompanii za ich prostackie próby ucieczki z lochu elfów?,Balin
5,O co Kili pyta Tauriel gdy ta zamyka go w lochu?,Czy nie chce go przeszukać
5,"Jaki, zdaniem Thranduila, cel przyświeca wyprawie Thorina do Ereboru?",Kradzież Arcyklejnotu
5,"Na czym, co znajdywało się w Ereborze, najbardziej zależało Thranduilowi?","Na elfickich, białych klejnotach "
5,"Skąd pochodziły smoki, z którymi w przeszłości walczył Thranduil i jego elfy?",Z północy
5,Jaki dowód swoich dawnych potyczek ze smokami pokazuje Thorinowi Thranduil?,Poranioną twarz
5,"Co miała zyskać Kompania Thorina, gdyby zdecydowała się wejść w umowę z Thranduilem?",Zostaliby wypuszczeni z Leśnego Królestwa
5,"Ile czasu jest dla elfa jak mrugnięcie oka, w jego porównaniu w czasie rozmowy z Thorinem w Leśnym Królestwie?",Sto lat
5,Ile księżyców temu - licząc od momentu złapania krasnoludów przez leśne elfy - Thranduil rozkazał Tauriel zniszczyć gniazdo pająków?,Dwa
5,Jaką funkcję w Leśnym Królestwie pełni Tauriel?,Kapitana straży
5,Od kogo Kili dostał kamienny talizman?,Od matki
5,"Na cześć czego odbywało się przyjęcie w Leśnym Królestwie, w czasie gdy przebywała tam Kompania Thorina?",Światła gwiazd
5,"Skąd pochodzili kupcy, których eskortował Kili w jego historii opowiadanej Tauriel?",Z Gór Błękitnych
5,"Jakie niesamowite zjawisko w przyrodzie, o którym Kili opowiada Tauriel, widział raz krasnolud?",Krawy Księżyc
5,Czyją rozmowę w Leśnym Królestwie podsłuchuje Legolas?,Kiliego i Tauriel
5,Dokąd elfowie z Leśnego Królestwa wysyłali swoje puste beczki?,Do Miasta Na Jeziorze
5,"Przez jakie pomieszczenie, Kompania Thorina opuszcza mury Leśnego Królestwa?",Przez piwnicę z winami
5,Kto dowodzi atakiem orków na krasnoludy uciekające z Leśnego Królestwa?,Bolg
5,Który członek kompanii zostaje zraniony przez Bolga w czasie ucieczki rzeką w beczkach?,Kili
5,Kto ratuje życie legolasa w czasie potyczki elfów i krasnoludów z orkami przy rzece w Mrocznej Puszczy?,Thorin i Tauriel
5,"Kto z kompanii zaproponował obejście jeziora, na którym leży Esgaroth, w celu dostania się pod Samotną Górę?",Bilbo
5,Ile czasu Thorin daje kompanii na opatrzenie nogi rannego Kiliego?,Dwie minuty
5,Kogo spotyka Gandalf w Górach Rhudauru?,Radagasta
5,Do kogo początkowo chce się udać Gandalf po zbadaniu grobowca upiorów?,Do reszty kompanii Thorina
5,"W którego z krasnoludów celuje z ukrycia Bard, w czasie ich pierwszego spotkania?",Do Oriego
5,Kogo spotykają krasnoludy po wyjściu z beczek po ich ucieczce z Leśnego Królestwa?,Barda
5,Ile dzieci miał Bard?,Trójkę
5,Jako kogo Balin początkowo przedstawił Kompanię Thorina Bardowi?,Kupców z Gór Błękitnych
5,"Gdzie według relacji Balina, w jego pierwszej rozmowie z Bardem, podróżowała kompania?",Do Gór Żelaznych
5,Czym został trafiony Kili podczac ucieczki z Leśnego Królestwa?,Strzałą Morgulu
5,Który z krasnoludów opierał się przed oddaniem swoich oszczędności Bardowi?,Gloin
5,"Ilu monet początkowo brakuje krasnoludom, gdy liczą pieniądze przeznaczone na zapłatę dla Barda?",Dziesięciu
5,Jak ukryły się krasnoludy i Bilbo w czasie podróży do miasta na jeziorze?,Siedzieli w beczkach z rybami
5,O co Alfrid oskarża Barda w czasie jego przemytu Kompanii Thorina w beczkach z rybami?,O kontrabandę/przemyt
5,Jak nazywał się syn Barda?,Bain
5,Jak nazywała się młodsza córka Barda?,Tilda
5,Jak nazywała się starsza córka Barda?,Sigrid
5,W jaki sposób Kompania przedostała się do domu Barda?,Weszli poprzez toaletę
5,Kto był władcą miasta Dale w dniu jego upadku?,Girion
5,Jaki pocisk potrafił przebić pancerz Smauga?,Czarna strzała
5,"Ile dni przed Dniem Durina, kompania dociera do Esgaroth?",Dwa
5,Jak nazywało się miasto na jeziorze?,Esgaroth
5,Około ilu lat ma Tauriel?,Sześciuset  
5,"Jak Bard dowiaduje się, że Thorin jest potomkiem Throra?",Odczytuje to z gobelinu
5,Przez kogo kradzież broni z magazynu w Esgaroth się nie powoiodła?,Przez Kiliego
5,Kto w Esgaroth jest największym przeciwnikiem misji odsyskania Ereboru?,Bard
5,"Którzy członkowie Kompanii Thorina zostają w mieście na jeziorze, gdy reszta wyrusza do Ereboru?","Fili, Kili, Bofur, Oin"
5,Kogo spotyka Gandalf przemierzając samotnie Dol Guldur,Thraina
5,Jaki przedmiot Azog odebrał Thrainowi w czasie bitwy pod bramami Morii?,Jeden z siedmu krasnoludzkich Pierścieni Władzy
5,Którego z krasnoludów Thorin wyznacza do znalezienia dziurki od klucza w ścianie Ereboru?,Noriego
5,O co Thrain błaga Gandalfa przed śmiercią?,"O to by powiedział jego synowi, że ten go kochał"
5,Kto pokonuje Gandalfa w czasie jego samotnej wyprawy do Dol Guldur?,Sauron
5,"Jaki powód wizyty w Ereborze, przedstawia Smaugowi Biblo?","Mówi, że chciał zobaczyć Smauga"
5,Co najbardziej dziwi Smauga w Bilbie?,"To, że nie zna jego zapachu"
5,"Jak Bard dowiaduje się, że smok się obudził?",Poczuł wstrząs ziemi pochodzący z Ereboru
5,"W jaki sposób Smaug dał znać krasnoludom czekającym przy wejściu do góry, że się przebudził?",Zwala wielkie kamienne kolumny
5,Gdzie Bard ukrył ostatnią czarną strzałę mogącą zabić smoka?,Pod sufitem w swoim domu
5,Kto dowodzi atakiem orków na Esgaroth?,Bolg
5,Kto widzi wymarsz wojsk Azoga z Dol Guldur?,Gandalf
5,"Dokąd w Ereborze udaje się Thorin z resztą kompanii, chcąc uciec z góry przed Smaugiem?",Do zachodniej strażnicy
5,Do jakiej części Ereboru udaje się Kompania Thorina w celu zabicia Smauga?,Do kuźni
5,"Dokąd zdaniem Balina najlepiej byłoby udać się kompanii uwięzionej w Ereborze, aby przetrwać chociaż kilka dni w ukryciu przed smokiem?",Do kopalni
5,Gdzie zwabiono Smauga po jego potyczce z krasnoludami w kuźni?,Do Komnaty Królów
5,W jaki sposób Thorin chciał pokonać Smauga?,Zalewając go gorącym złotem
5,Który krasnolud z kompanii potrafił tworzyć bomby zwane piorunitami?,Balin
5,Kogo Thorin wyznaczył do obsługi miechów w kuźni Ereboru podczas walki ze Smaugiem?,Bombura
5,"Jak nazywały się bomby, które krasnoludy wykorzystały podczas wali ze Smaugiem w kuźni? ",Piorunity
5,Dlaczego Smaug nie zabija Bilba w Komnacie Królów?,"Bo, chce aby ten zobaczył śmierć Esgaroth"
5,Kto ratuje życie rodzinie Barda oraz przebywającym u niego czterem krasnoludom?,Legolas i Tauriel
5,"Kto znajduje zioła, dzięki którym Kili nie ginie w Esgaroth?",Bofur
5,Jak nazywał się doradca rządcy miasta na jeziorze?,Alfrid
5,Gdzie Bain ukrywa ostatnią czarną strzałę?,W łodzi w Esgaroth
6,W jaki sposób Bard wydostał się z więzienia w Esgaroth?,"Zarzucił sznur o płynącą łódź, co doprowadziło do wyrwania kraty w ścianie"
6,W jaki sposób Alfrid wpada do wody w czasie ucieczki wraz z Rządcą Esgaroth przed smokiem?,Rządca osobiście wrzuca go do wody
6,"Z czym Bard udaje się na dzwonnicę w Esgaroth, w czasie ataku Smauga?",Z łukiem i kołczanem strzał
6,"Kto decyduje o tym aby zostawić Baina w tyle, gdy ten opuszcza łódź, na której uciekał z Esgaroth z siostrami.",Tauriel
6,"Kto towarzyszy Bardowi, gdy ten wypuszcza czarną strzałę w stronę smoka?",Jego syn / Bain
6,W jaki sposób ginie Rządca Esgaroth?,Miażdży go ciało martwego Smauga
6,Kto zabija Smauga?,Bard
6,Gdzie umiera Smaug?,W Esgaroth
6,W jakich okolicznościach Bard stracił łuk w czasie walki ze smokiem?,"Łuk złamał się, gdy Smaug zaatakował dzwonnice"
6,"Co potwierdza kompanii, że smok faktycznie ponosi klęskę w Esgaroth?",Kruki Ereboru zaczynają wracać na górę
6,"Gdzie Kili przekazuje Tauriel kamień, który otrzymał od matki?","Na brzegu jeziora, na którym leżało Esgaroth"
6,Co ocalali z Esgaroth chcą uczynić z Alfridem na brzegu jeziora w czasie samosądu?,Chcą go powiesić
6,Kto ratuje życie Alfrida przed samosądem ocalałych z Esgaroth na brzegu jeziora?,Bard
6,Jaki przedmiot Alfrid chce odebrać siłą kobiecie na brzegu jeziora po ucieczce z Esgaroth?,Chce odebrać jej koc
6,"Od kogo czwórka krasnoludów, która przybyła do Ereboru po śmierci Smoka, słyszy, że musi opuścić górę?",Od Bilba
6,"Który z krasnoludów w czasie rozmowy z Bilbem traci panowanie nad sobą i biegnie do skarbca, by zobaczyć go po raz pierwszy?",Fili
6,"Kim, w drzewie genealogicznym, Fili i Kili są dla Thorina?",Siostrzeńcami
6,Kto po Smaugu staje się koejnym posiadaczem arcyklejnotu?,Bilbo
6,Ile królestw krasnoludów miał zjednoczyć arcyklejnot w rękach dziedzica Throra?,Siedem
6,Jak nazywał się syn Azoga Plugawego?,Bolg
6,"Czego znak nosili orkowie czekający na Bolga, który uciekał z miasta na jeziorze?",Znak Gundabadu
6,Jaka wiadomość przyniesiona przez elfiego posłańca skłania Legolasa do wyruszenia do Twierdzy Gundabadu?,Wiadomość o wygnaniu Tauriel z Leśnego Królestwa
6,Gdzie znajdowała się Twierdza Gundabadu?,Na północ od Gór Mglistych
6,Kto ratuje Gandalfa przed utratą jego pierścienia władzy?,Galadriela
6,Jaki żywioł reprezentował elficki pierścień władzy posiadany przez Mithrandira?,Ogień
6,Kto stanął naprzeciw Galadrieli uciegającej z Gandalfem z Dol Guldur?,Upiory Pierścienia
6,Jakie znaczenie dla Saurona miał przetrzymywany przez niego w Dol Guldur Gandalf? ,Posiadał elficki pierścień władzy
6,"Kto zjawia się w Twierdzy Dol Guldur, by pomóc Galadrieli w uratowaniu Gandalfa i pokonaniu upiorów?","Elrond, Saruman i Radagast"
6,O co Gandalf prosi Galadrielę gdy ucieka z Dol Guldur z Radagastem?,Prosi ją by ta pojechała z nim
6,Kto wypędza Saurona z Dol Guldur?,Galadriela
6,Dokąd udaje się Sauron po przepędzeniu go z Dol Guldur?,Na wschód
6,Co zasugerował Sarumanowi Elrond po ich potyczce z siłami zła w Dol Guldur?,"Elrond zasugerował, aby ostrzec Gondor"
6,Kto decyduje się na wyruszenie na wschód śladami Saurona?,Saruman
6,"Co Radagast przekazuje Gandalfowi, przed jego podróżą spod Dol Guldur do Ereboru?",Swój magiczny kostur (laskę)
6,Jak Balin nazywa chorobę na którą popadł Thorin w czasie swojej potajenej rozmowy z Bilbem?,Nazywa ją Smoczą Chorobą
6,"Jaki przedmiot ze swojej kieszeni oglądał w Ereborze Bilbo, gdy został przyłapany przez Thorina?",Żołądź z ogrodu Beorna
6,"Kto z ocalałych z Esgaroth spostrzega, że KompaniaThorina, która wyruszyła do Ereboru, przeżyła?",Alfrid
6,Który z krasnoludów jako pierwszy wyraża na głos odmienne od Thorina zdanie w sprawie ocalałych z Esgaroth?,Kili
6,"Kto w noc po przybyciu do Dale ocalałych z Esgaroth, zjawia się w ruinach miasta?",Thranduil i ze swoją armią
6,Z jakiego powodu Thranduil ze swoją swoją armią przybyli pod Erebor?,Odebrać od krasnoludów białe kamienie
6,W jakim celu Bard udaje się pod bramę Ereboru?,Aby poprosić Thorina o obiecane ludziom złoto
6,Kto zdaniem Thorina w rozmowie z hobbitem zdradził go z wziął Arcyklejnotu dla siebie?,Jeden z krasnoludów z kompanii
6,Jaki przedmiot Thorin przekazuje hobbitowi w czasie przygotowań do walki z elfią armią?,Kolczugę z mithrilu
6,W jakich okolicznościach zginęła matka Legolasa?,Poległa w czasie bitwy w Królestwie Angmaru
6,Jaka kraina rozciągała się na północ od Twierdzy Gundabadu?,Angmar
6,Który z krasnoludów kończył wartę w czasie gdy Bilbo wymykał się z Ereboru?,Bofur
6,"Który z krasnoludów miał przejąć wartę o północy, w noc ucieczki Bilba z Ereboru?",Bombur
6,"Skąd pochodziły krasnoludy, które przybyły na wezwanie Thorina do Ereboru na wojnę?",Z Żelaznych Wzgórz
6,Jak nazywał się kuzyn Thorina władający Żelaznymi Wzgórzami?,Dain
6,Jak nazywały się podziemne bestie odpowiedzialne za wydrążenie tuneli dla wojsk Azoga?,Robakołaki
6,"Gdzie, według relacji uciekających ludzi, orkowie mieli dopaść Tilde i Sigrid w czasie ataku na Dale?",Na starym rynku
6,Którym członkom kompanii Thorin groził odebraniem życia w czasie swojej smoczej choroby?,Bilbowi i Dwalinowi
6,"Gdzie udaje się Thorin po odrzuceniu prośby Dwalina,  dotyczącej pomocy wojskom Daina?",Do Komnaty Królów
6,Który z krasnoludów dosiadł bestię wojenną?,Bofur
6,"Kto z kompanii Thorina, wyruszył za swoim przywódcą, rydwanem z Żelaznych Wzgórz?","Balin, Dwalin, Fili i Kili"
6,Przed kim Bard ratuje Alfrida w czasie bitwy w ruinach Dale?,Przed trollem
6,Kto nieświadomie ratuje Gandalfowi życie w czasie jego walki z trollem w ruinach Dale?,Alfrid
6,"Za pomocą czego, Alfrid nieświadomie odpala katapultę, w której się znajduje?",Za pomocą złotej monety
6,Z jakiego powodu Gandalf miał trudności w potyczce z trollem czasie bitwy w ruinach Dale?,Jego kostur nie działał prawidłowo
6,Skąd Azog dowodził atakiem swoich wojsk na Erebor?,Z Kruczego Wzgórza
6,Gdzie udaje się Thorin po rozmowie z Dainem na polu bitwy?,Na Krucze Wzgórze
6,"Kto atakuje Thorina i Dwalina, gdy zostają sami na Kruczym Wzgórzu?",Gobliny
6,Kto udaje się do środka wieży na Kruczym Wzgórzu w celu zlokalizowania Azoga?  ,Fili i Kili
6,Co wpływało na trudności z wysławianiem się u Bifura?,Resztki topora wbite w głowę
6,"Kto pomaga Bifurowi w walce z orkiem, po której ten ponownie może się wsyławiać?",Bombur i Bofur
6,Od kogo Gandalf dowiaduje się o ukrytym ataku armii orków z północy?,Od Legolasa
6,Kto dołącza do krasnoludów na Kruczym Wzgórzu?,"Bilbo, Legolas, Tauriel"
6,"Który członek kompanii, ginie jako pierwszy?",Fili
